date,BTC,XRP,BNB,DOGE,ADA,TRX,LTC,LINK,BCH,EOS,ETC,MKR,ZEC,XLM,XMR,MANA,DASH,NEO,ELF,SNX,STORJ,VGX,ENJ,DGB,ZEN,GLM,ZIL,BAT,GFT,GNO,IOTA,MED,LRC,POWR,AMB,WAVES,CVC,RVN,ONT,REN,XDC,DENT,ARK,BLZ,GAS,NMR,ANT,OMG,ADX,RLC,VIC,LSK,SBD,ARDR,TRAC,PRO,BTG,MLN,XVG,XNO,MTL,UQC,DCR,SNT,UTK,PIVX,SYS,REQ,FUN,VIB,IDEX,MDT,BORG,STEEM,ZRX,ICX
2018-01-02,0.7391304347826086,0.894736842105263,,,,0.4545454545454546,0.8333333333333333,,-0.14814814814814814,1.2000000000000002,0.4285714285714286,3.0,0.0,0.0,0.8333333333333333,,0.5,0.8571428571428572,0.2727272727272727,,0.7666666666666666,1.0,,5.0,-0.09999999999999998,7.0,-0.09090909090909094,0.6428571428571428,,0.6666666666666667,0.33333333333333326,0.10000000000000009,0.8333333333333333,,0.33333333333333326,0.08717948717948709,0.6285714285714286,0.1875,0.7666666666666666,0.0,0.4444444444444444,,0.5,-0.6666666666666667,-0.19999999999999996,0.07317073170731714,4.0,0.0736842105263158,0.09090909090909083,-0.11111111111111116,-0.28125,-0.5,0.6363636363636365,,-1.0,-0.059523809523809534,1.0,-0.5,-0.1216216216216216,,0.25,,0.3157894736842106,-0.33333333333333337,,,-0.4444444444444444,,-0.4,0.0,1.0,0.46666666666666656,,0.9342891278375149,,
2018-01-03,0.10000000000000009,0.23611111111111116,,,,0.0625,-0.18181818181818177,,0.26086956521739135,0.09090909090909083,-0.050000000000000044,1.0,1.0,0.962962962962963,1.0,2.5,-0.16666666666666663,-0.11538461538461542,0.6428571428571428,,0.4528301886792452,0.16666666666666674,,-0.33333333333333337,0.11111111111111116,0.75,0.10000000000000009,0.4782608695652173,3.0,0.8,0.08333333333333326,0.34545454545454546,0.4545454545454546,,0.7,-0.04245283018867929,-0.17543859649122806,0.05263157894736836,-0.09433962264150941,1.0,-0.46153846153846156,,-0.4666666666666667,5.666666666666667,0.25,0.4772727272727273,0.19999999999999996,0.07843137254901955,0.6666666666666667,-0.25,0.021739130434782705,1.5454545454545454,0.6111111111111112,,,0.10126582278481022,-0.33333333333333337,0.0,-0.06153846153846154,-1.0,0.6000000000000001,,0.52,4.5,-0.5,,0.8,,0.33333333333333326,-0.4,1.5,0.3181818181818181,,0.054972205064854895,,
2018-01-04,0.4772727272727273,0.101123595505618,,,,0.7647058823529411,0.0,,-0.10344827586206895,-0.08333333333333337,-0.07017543859649122,-0.25,-0.16666666666666663,-0.23584905660377353,-0.36363636363636365,-0.4285714285714286,3.2,-0.04347826086956519,-0.21739130434782605,-1.0,-0.2987012987012987,0.0,,0.0,-0.30000000000000004,-0.2142857142857143,0.0,-0.2941176470588235,-0.75,-0.2222222222222222,0.07692307692307687,-0.09459459459459463,-0.125,,1.5588235294117645,0.029556650246305383,-0.08510638297872342,0.10000000000000009,-0.125,-0.25,1.7142857142857144,,1.125,-0.15000000000000002,-0.6,-0.27692307692307694,-0.6666666666666667,-0.2090909090909091,-0.6,0.0,-0.08510638297872342,-0.4285714285714286,-0.5517241379310345,,-1.0,0.3908045977011494,-0.25,0.0,0.06557377049180335,,-0.1875,,-0.11842105263157898,-0.43939393939393945,2.0,,-0.11111111111111116,,1.75,-0.33333333333333337,-0.7,-0.03448275862068961,,0.0005854800936768711,,
2018-01-05,0.19999999999999996,-0.10204081632653061,,-0.19999999999999996,,-0.09999999999999998,0.11111111111111116,,-0.42307692307692313,0.36363636363636354,-0.07547169811320753,0.16666666666666674,-0.6,-0.3580246913580247,0.0,0.75,-0.23809523809523814,-0.045454545454545414,0.16666666666666674,,0.38888888888888884,0.1428571428571428,,-0.25,0.4285714285714286,1.0,-0.2727272727272727,-0.16666666666666663,0.0,1.0,-0.2857142857142857,-0.04477611940298509,0.2142857142857142,,-0.4367816091954023,-0.215311004784689,0.34883720930232553,-0.2272727272727273,0.33333333333333326,-0.33333333333333337,-0.4736842105263158,,-0.05882352941176472,-0.5882352941176471,1.5,0.27659574468085113,1.0,0.6781609195402298,0.625,-0.6666666666666667,0.023255813953488413,0.0625,0.3076923076923077,,,-0.05785123966942152,-0.5,-0.33333333333333337,-0.18461538461538463,,-0.1923076923076923,,0.014925373134328401,-0.7027027027027026,0.33333333333333326,,-0.125,,-0.9090909090909091,4.0,-0.33333333333333337,-0.2857142857142857,,-0.07782328847279107,,
2018-01-06,-0.4358974358974359,-0.5,,-1.0,,-0.4691358024691358,0.050000000000000044,-1.0,0.7333333333333334,-0.2666666666666667,-0.23469387755102045,0.2857142857142858,2.0,-0.40384615384615385,-0.2142857142857143,-0.8571428571428572,-0.625,-0.09523809523809523,-0.47619047619047616,3.0,-0.22666666666666668,0.75,,-0.6666666666666667,0.10000000000000009,-0.4545454545454546,0.125,-0.15000000000000002,0.0,-0.2857142857142857,-0.30000000000000004,-0.171875,-0.32352941176470584,,-0.12244897959183676,0.04878048780487809,-0.15517241379310343,0.3529411764705883,-0.3928571428571429,-1.0,0.19999999999999996,,0.0,1.0,-0.19999999999999996,-0.06666666666666665,-0.25,-0.1643835616438356,0.15384615384615374,4.5,-0.2272727272727273,0.5294117647058822,-0.17647058823529416,,0.0,-0.13157894736842102,2.6666666666666665,0.5,-0.4716981132075472,-1.0,-0.19047619047619047,,-0.20588235294117652,0.09090909090909083,-0.75,,-0.4285714285714286,,0.0,-0.4,-0.5,0.0,,-0.1091370558375635,,
2018-01-07,-0.022727272727272707,0.46590909090909083,,,,0.0,0.19047619047619047,,-0.038461538461538436,0.6363636363636365,0.5733333333333333,-0.5555555555555556,-0.33333333333333337,0.16129032258064524,0.36363636363636354,1.0,-0.16666666666666663,0.21052631578947367,1.0909090909090908,-0.75,0.034482758620689724,-0.3571428571428571,,2.0,0.09090909090909083,-0.16666666666666663,0.33333333333333326,0.7647058823529411,1.0,-0.19999999999999996,0.7857142857142858,0.09433962264150941,0.04347826086956519,,-0.34883720930232553,0.13953488372093026,-0.2857142857142857,-0.34782608695652173,0.32352941176470584,,0.08333333333333326,,-0.25,-0.2142857142857143,0.5,0.0535714285714286,0.0,-0.16393442622950816,0.06666666666666665,-0.2727272727272727,0.23529411764705888,0.3076923076923077,-0.0714285714285714,,0.0,-0.21212121212121215,-0.5454545454545454,3.333333333333333,0.1428571428571428,,0.6470588235294117,,-0.2777777777777778,-0.08333333333333337,3.0,,1.25,,2.0,-0.16666666666666663,5.0,0.25,,0.07051282051282048,,
2018-01-08,-0.06976744186046513,-0.07751937984496127,,,,0.16279069767441867,0.08000000000000007,0.0,0.0,-0.16666666666666663,0.10169491525423724,0.25,0.0,0.22222222222222232,-0.4666666666666667,1.0,0.6000000000000001,0.08695652173913038,-0.08695652173913049,1.0,0.0,-0.4444444444444444,,1.3333333333333335,-0.25,-0.09999999999999998,-0.41666666666666663,-0.2666666666666667,1.0,0.625,-0.24,0.0862068965517242,0.41666666666666674,,0.9285714285714286,-0.025510204081632626,0.4571428571428571,0.1333333333333333,0.2666666666666666,-0.8333333333333334,-0.07692307692307687,,-0.08333333333333337,0.0,0.5,0.016949152542372836,1.0,0.17647058823529416,-0.0625,0.0,0.2142857142857142,-0.32352941176470584,1.2307692307692308,,-0.5,0.3205128205128205,-0.4,-0.9230769230769231,0.25,-1.0,0.0714285714285714,,0.8461538461538463,1.5454545454545454,-0.5,,0.0,,-0.6666666666666667,1.2000000000000002,-0.16666666666666663,0.08000000000000007,,0.03659347970725224,,
2018-01-09,-0.35,-0.1512605042016807,,-1.0,,0.0,-0.4444444444444444,-1.0,-0.12,-0.7333333333333334,-0.09230769230769231,0.19999999999999996,0.0,-0.15909090909090906,0.0,0.25,1.0,0.15999999999999992,-0.04761904761904767,0.0,-0.15000000000000002,1.6,,-0.8571428571428572,0.22222222222222232,-0.11111111111111116,0.1428571428571428,0.3181818181818181,-0.25,-0.3846153846153846,0.631578947368421,0.19047619047619047,0.5,,-0.4629629629629629,0.041884816753926746,-0.17647058823529416,-0.05882352941176472,-0.3508771929824561,2.0,0.41666666666666674,,0.2727272727272727,0.7272727272727273,-0.2222222222222222,-0.16666666666666663,-0.5,-0.1333333333333333,-0.2666666666666667,-0.125,0.07843137254901955,-0.26086956521739135,-0.31034482758620685,,-1.0,0.15533980582524265,2.0,8.0,0.30000000000000004,,0.0,,-0.05555555555555558,-0.6785714285714286,-1.0,,-0.2222222222222222,,0.0,-0.5454545454545454,-0.19999999999999996,-0.2222222222222222,,-0.021181001283697043,,
2018-01-10,0.0,0.03960396039603964,,,,0.28,0.46666666666666656,,0.40909090909090917,2.25,0.03389830508474567,0.5,-0.25,-0.21621621621621623,0.75,-0.19999999999999996,-0.5,-0.5517241379310345,0.050000000000000044,-0.5,0.2549019607843137,-0.6923076923076923,,0.0,-0.36363636363636365,-0.125,0.25,0.06896551724137923,0.0,-0.25,-0.3870967741935484,0.14666666666666672,-0.019607843137254943,,0.13793103448275867,0.23115577889447225,0.40476190476190466,-0.75,0.3513513513513513,0.6666666666666667,-0.5294117647058824,,0.7142857142857142,-0.21052631578947367,-0.4285714285714286,-0.12,1.6666666666666665,0.06730769230769229,0.2727272727272727,0.0,-0.38181818181818183,0.0,-0.35,,,0.2100840336134453,0.0,-0.8888888888888888,-0.1923076923076923,1.0,0.06666666666666665,,-0.014705882352941124,0.0,,,0.8571428571428572,,4.0,-0.4,2.0,0.38095238095238093,,-0.0485245901639344,,
2018-01-11,0.5384615384615385,0.3047619047619048,,,,-0.34375,0.2272727272727273,-0.33333333333333337,-0.4516129032258065,0.8461538461538463,-0.15573770491803274,-0.11111111111111116,0.0,0.10344827586206895,-0.5714285714285714,-0.25,0.125,0.3846153846153846,-0.1428571428571429,-1.0,0.1875,1.5,,-1.0,0.2857142857142858,1.7142857142857144,-0.6,-0.25806451612903225,-0.6666666666666667,0.6666666666666667,0.42105263157894735,-0.33720930232558144,-0.14,,0.4242424242424243,-0.020408163265306145,0.3389830508474576,3.5,0.1399999999999999,-0.8,0.25,,-0.5416666666666667,0.1333333333333333,2.5,0.6136363636363635,-0.125,-0.08108108108108103,0.5714285714285714,0.2857142857142858,0.2941176470588236,-0.05882352941176472,0.46153846153846145,,0.0,-0.05555555555555558,0.0,4.0,-0.6190476190476191,0.5,-0.09375,,0.08955223880597019,0.4444444444444444,,,-0.6153846153846154,,-0.4,1.3333333333333335,-0.75,-0.24137931034482762,,0.001378359751895264,,
