Date,BTC,XRP,BNB,DOGE,ADA,TRX,LTC,LINK,BCH,EOS,ETC,MKR,ZEC,XLM,XMR,MANA,THETA,DASH,NEO,ELF,SNX,STORJ,STEEM,QTUM,VGX,ENJ,DGB,ZEN,ZRX,GLM,ZIL,BAT,GFT,GNO,IOTA,MED,LRC,POWR,AMB,WAVES,CVC,RVN,ONT,REN,STMX,XDC,DENT,ARK,IOST,BLZ,GAS,WAXP,NMR,ANT,OMG,ADX,RLC,VIC,LSK,SBD,ARDR,TRAC,PRO,BTG,MLN,CTXC,XVG,XNO,MTL,XEM,ICX,UQC,STRAX,DCR,SNT,SWFTC,UTK,PIVX,SYS,REQ,FUN,VIB,NULS,IDEX,MDT,BORG
2018-01-01,14093.6068305274,2.31012,8.82809865123005,0.00909118972054732,0.74714042363643,0.0516540472349516,230.46212028623,0.751033001487362,2426.97007748231,7.67227821415548,30.1035193322699,1090.00686388653,597.002,0.496803,357.179637593928,0.104970657973883,,1064.80615962946,82.9192972150453,,,2.38366282128982,4.27017685094523,61.227,3.94094441042174,0.184663206015074,0.0721629133258187,57.835687091785,0.914391764065593,0.935149,,0.48914466083044,0.301197369641587,238.405859944778,4.07900560405535,,0.477924860863859,1.10408097575546,0.765943128665678,12.6041,0.94377417210713,,,,,,0.0192681906785069,7.5097,,,33.0383976234168,,41.5108503799597,4.46081529150866,19.5882,3.22767842259126,1.83263135396882,,22.0035180968548,8.99925680303924,1.61049,,2.39767354676645,276.243177463939,132.479,,0.166200397458339,29.3828,9.77092,1.06141829235954,6.50359478928591,1.31857907555879,16.6419647009339,112.983045637497,0.268563927405718,,0.467206715906694,10.6895,0.78362268536383,0.867351874978368,0.0863247,0.455326871027941,2.26725919019608,,,
2018-01-02,15321.9328517642,2.45529,9.09039322406542,0.00933544582449771,0.807430250865508,0.0808930764019199,255.048185035276,0.68938823979678,2627.02694026937,9.50403557859302,35.4588931063982,1117.46112055627,580.602,0.553798,376.534960037397,0.107473810125004,,1194.63622895994,92.729231800837,,,2.41310533158704,6.88575074370508,60.7319,4.52702747059381,0.204076916131567,0.0681952019567428,53.6388507974699,0.927922111592778,1.08187,,0.586436301392271,0.371258966185601,271.272106234395,4.09472816625875,,0.506202700855162,1.33539967763664,0.701043911623378,13.2445,1.12672264777825,,,,,,0.0242752899298663,7.78142,,,33.8666624646293,,38.7324224189328,4.73306193802586,20.229,3.04397590811686,2.16101491238609,,22.6895442901776,10.6836797826581,1.8274,,2.37911186695632,276.993161227115,151.013,,0.149849726155838,33.6937,9.44637,1.17783915421289,6.7128992796934,1.38768095708516,16.5774366132758,110.869421654101,0.326229868723076,,0.647065142842709,11.555,0.817776780899171,0.80922367187632,0.0889329,0.464457972267931,2.51049420288173,,,
2018-01-03,15583.8855377593,3.12571,9.886323100553348,0.009591984295530395,1.0754011011838815,0.09810683152172969,248.04219364630376,0.7046229508546422,2630.5118110174667,10.090183592923779,36.998282234151944,1152.9711252514403,580.556,0.875563,395.262774498778,0.16078423592234697,,1161.0020285088233,106.30560210013293,,,2.324228866471537,8.191466446138957,59.4687,6.5559360983713475,0.22281030048373482,0.08177680948939749,50.83728042527057,1.008425317360259,1.07063,,0.6748210059392118,0.6600361148993467,274.60952516881474,4.2054272954489305,,0.5903199537366906,1.7487862780809191,0.7894699712067074,12.9683,1.3487279719485332,,,,,,0.034080342162206595,7.53996,,,41.747737491791995,,39.374628441390584,6.679251034020502,20.6322,2.964631788675883,1.9824010565111918,,21.651952843855394,10.438746843670186,1.9517,,2.8791465724264476,270.55190468076336,179.53,,0.14914408471315319,25.3738,9.65567,1.794839291911031,7.616285009380022,1.4527931684255129,17.573218772342837,109.7746340333007,0.6849183837776491,,0.8967739427503101,10.9236,0.7988027113047705,0.7953483076414608,0.106564,0.584169549475934,3.696732203631049,,,
2018-01-04,15976.365194174,3.22005,9.675757666836406,0.010098320449883494,1.1793470150411156,0.21813896209702388,244.83437239359276,1.0368260436887946,2458.8943716566214,11.713283945776041,40.89900247402674,1021.2134904961083,594.535,0.7551188319281829,415.032997425882,0.21078013720415426,,1177.1320888259083,103.55584416085705,,,2.5780802778733114,7.107089978478256,57.9462,6.907477036017539,0.36365341113538147,0.10550519095448309,57.903081012592544,1.1014883748555717,1.10336,,0.6679898086589636,0.7299526981508525,315.509032400135,4.230484023783752,,0.6895590082102364,1.668853338258702,0.9483018390264598,12.5085,1.2598393720714074,,,,0.1355854296220532,,0.053163407564033746,7.17615,,,45.37950448942263,,38.48285686798839,6.629496667375076,20.0441,3.039323412344726,2.531888711402371,,22.66099143383493,9.436088987864483,1.82853,,4.17418765926145,278.779874033233,258.258,,0.16979257656053934,32.3151,11.3196,1.7119271321092717,7.569584654259042,1.4308163231071644,16.998696265912702,115.66257489063074,0.5647242176471324,,0.874130672963689,10.5812,0.784279504753254,0.8268340178615772,0.178514,0.6982396532004956,4.788923391917421,,,
2018-01-05,18336.9229801691,2.93138,16.488523208942993,0.013841230630273734,1.0778211835149423,0.23167275596197776,254.1385250810076,0.9965746466185855,2551.321684963187,9.673191741047242,32.30320398453007,1125.1693672113006,588.629,0.7032173861675213,402.51063795503296,0.17787414916823688,,1149.21114384721,101.88581782350397,,,2.1846618036511334,6.203547491548374,61.5818,9.568637713994518,0.39733059192843595,0.12088077602930293,49.519230691510614,1.1965605372642152,0.944346,,0.5961234152112559,0.6186960957183816,441.9918722458566,3.989500199018943,,1.0806524312159367,1.4859856595480776,1.056061480375461,12.0373,1.1812224096701216,,,,0.1650323068215219,,0.08118429344166843,6.73606,,,51.21838535202561,,34.21269816357411,5.771073122928698,18.237,2.624066047377488,2.61753032286678,,26.082705481518072,8.246457908066393,1.53497,,5.152954092209645,281.4318785558987,229.037,,0.19708043787295806,31.3438,9.21965,1.6708417318810815,7.339678279351693,1.365968893574377,16.417014059454214,117.9246974848185,0.5283494517134978,,0.7622055865434182,9.95117,0.7483091754315044,0.7617991384302837,0.161191,0.585847015835345,5.659993689237568,,,
2018-01-06,18343.6624934071,3.09163,24.369904809962087,0.015865492218716883,1.093780172480279,0.17928748936361966,289.9300333581779,1.1388894192046262,2674.2478384257674,10.019651748739651,34.72444537955773,1368.3534054385113,762.449,0.7444532340531758,407.58686038722004,0.19498474444735905,,1220.5137804803062,106.74258983986502,,,2.5563732907352925,7.024438937806923,100.224,12.474312081804339,0.46460933643561864,0.13523546301224224,57.03623472416624,1.441296013677956,1.03159,,0.7033332590223136,0.7335987599506294,424.12588319409554,4.182327600027111,,1.388839326805935,1.762917381126581,1.7280010729581141,12.8983,1.292267637374893,,,,0.1411089977391664,,0.07691989580144862,7.89996,,,54.91517895936103,,34.460281434507195,6.3688221024524285,19.3166,3.0208963766374723,2.5972511704191263,,33.06385899230485,8.648873872609718,1.70237,,4.979076095384779,304.69989751690446,241.914,,0.1873620358595594,29.3112,7.54013,1.7445225400776163,8.315419029237868,1.445435033224725,17.219644126083917,122.03086757591103,0.5390780112423047,,0.8205922387904214,11.1897,0.8639685649619296,1.0592608582386533,0.172358,0.6179745194210913,6.4210769723006,,,
2018-01-07,17039.8739138488,3.39845,19.342609184160256,0.01758609267957335,1.0528536805180457,0.19978596066784834,278.97598168335605,1.3434661973951738,2633.2100734137102,10.355536936383595,35.584031466820576,1466.645856011889,880.204,0.7266447544486768,465.7044641482299,0.24224332766565093,,1206.5815350149987,106.07137046555629,2.5237880578443037,,2.632414172833145,6.673292630906328,85.9453,11.843509003083064,0.44324339583106254,0.13215238374548496,55.16863583986067,1.4292565053192736,1.08036,,0.7893564968961119,0.8354172961096407,382.6670195917713,4.214419363400607,,1.1999229974001964,1.8910066416440974,1.429720193935475,12.9373,1.2103915764978883,,,,0.1308374707156879,,0.0699852537597076,8.12319,,,55.46003612026285,,43.501250915780275,8.023694295203768,23.9366,3.2879201799731628,2.7331649777478555,,34.92394642386006,8.833216205151695,1.81791,,4.703427411999132,305.6421739895914,237.584,,0.18948138578712276,27.3373,7.00902,1.8685388274619266,10.389463885284519,1.6165114303019923,17.785473094728548,121.01975187137178,0.5505525611628121,,0.8430769802438979,12.2356,0.9043683881501096,0.9852316501113279,0.169531,0.6896162681885564,7.601461466170972,,,
2018-01-08,15900.3650216006,2.4485,19.213160457388458,0.015664930020196744,0.9418999315467624,0.15690548165161397,263.7463834051953,1.4528740664515702,2529.0606613895993,9.913628218975312,35.20606584422456,1376.0701512548856,693.894,0.65913497872435,420.88599242700275,0.24580760396854426,,1134.7737169852383,106.82823833326282,2.2830274328044613,,2.315047751573589,6.354065605240862,55.9494,11.156690438457554,0.40882165285302086,0.12293765156523835,54.3680666036075,2.039065137621982,1.0829,,0.8982375429504956,0.7450876777129288,378.44636513180285,3.9635509481045084,,1.5409737980221374,1.655417294620239,1.5046707019983705,13.3815,1.15478854312449,,,,0.12374447264918388,,0.07822076604049977,7.91864,,,50.9871593696792,1.2026099176680487,52.334152436112106,7.050206018287558,24.0176,3.437228170699461,2.5286259720783346,,32.74985368929608,8.128725815830709,1.56251,,4.744227529873903,280.9285056572893,248.392,,0.18710575567229548,25.4556,7.14084,1.7087844161237251,11.031774042457615,1.959985500797372,22.76508852463293,117.43009833500032,0.4907597016951685,,0.8875161715665808,11.8648,0.8975754434877157,0.9798175837866867,0.191066,0.6042490987358083,7.366463829622541,,,
2018-01-09,15604.7234082405,2.14126,18.978822159045176,0.014236014523322628,0.8662015396561794,0.13269400951985694,258.71996457839646,1.3307473246819825,2541.258887652393,9.587459968078843,40.058547629388464,1500.6861184529948,670.948,0.6281801529637477,542.3254860710418,0.2678142317850932,,1176.5068460007888,135.0453684652203,2.604112945521169,,2.817273819635428,6.344794873805252,52.7903,8.455895241936242,0.3995914662440454,0.11794043022589124,62.5756605179455,2.3272270798217423,1.06604,,0.959505426969072,0.7752738951956005,427.18555440165227,3.7050264337190835,,2.4041906881495323,1.7739354310867523,1.4422942745548806,12.8768,1.1924352121327026,,,,0.1574524573015767,,0.10060010672009452,9.35318,,,66.78127398735815,2.7716748514478797,48.36165267071803,7.397134645754344,25.1972,3.4909185249367956,2.417221028328001,,31.800063328282874,8.365691919561145,1.5237,,5.024678791851804,274.4315175784268,245.637,,0.2071442906248654,29.4776,6.36031,1.5989244382828869,13.164521786565082,2.080394621679556,20.764464190824672,124.94605468722038,0.4610065262537848,,1.1849510040766875,12.4129,0.9287769679596374,0.9519684588953483,0.174968,0.7322191486690774,8.15489186032648,,,
2018-01-10,15509.2701268168,1.95614,18.074112986027988,0.013397872468724748,0.8164417056119962,0.13426456800506337,253.7921714393668,1.2089402110326044,2988.6397693439667,12.317891161141818,37.50917124397636,1136.1938351196568,719.896,0.5842686064187144,455.1325353514595,0.21760689784715528,,1136.5930458805615,127.06429479607125,2.16770525927525,,2.5526155037042426,5.5402811777974685,53.3493,12.211530498235092,0.3683503449764703,0.11546708883276202,62.43815415094258,2.2349611511710816,0.921586,,0.8300936147325196,0.718964189978961,417.4417018007004,3.854937545685532,,1.7775274769397282,1.5728979022303262,1.287138828224869,12.1558,1.040491320762236,,,,0.14268528516671455,,0.08343244063601407,10.2219,,,57.93544236876659,2.0119186065142025,51.303883864534484,6.2498632820455615,22.958,3.087985491406923,2.3451385284468023,,30.159837662282936,7.223171410528108,1.55705,,4.150174008526782,261.13413772693286,221.906,,0.1745845568325867,29.3459,5.86666,1.4844176208901816,11.460166958167376,2.361454586069332,19.86064187947892,117.40599674401632,0.41661439175529275,,1.1735374402651118,13.562,0.893005141521593,0.8794537708266302,0.158601,0.6208644821885958,8.531788409277048,,,
