

=== update_days = 60 ===

-- entry=0.1, exit=0.1 --
        mean       vol    sharpe  hit_rate  turnover  Holding Time train_start  train_end test_start   test_end
21  0.012625  0.102564  0.123093  0.497268  0.086275    347.724233  2021-06-14 2023-06-13 2023-06-14 2024-06-13
22 -0.030234  0.097387 -0.310448  0.505464  0.093018    322.519662  2021-08-13 2023-08-12 2023-08-13 2024-08-12

-- entry=0.1, exit=0.5 --
        mean       vol    sharpe  hit_rate  turnover  Holding Time train_start  train_end test_start   test_end
0   0.051614  0.195810  0.263594  0.443325  0.110767    270.838089  2018-01-01 2019-12-31 2020-01-01 2020-12-31
1   0.117386  0.247416  0.474448  0.446970  0.116221    258.129851  2018-03-02 2020-03-01 2020-03-02 2021-03-01
2  -0.273623  0.236818 -1.155417  0.468493  0.118461    253.248292  2018-05-01 2020-04-30 2020-05-01 2021-04-30
3   0.243024  0.253306  0.959410  0.547945  0.131607    227.951577  2018-06-30 2020-06-29 2020-06-30 2021-06-29
4   0.023105  0.252076  0.091658  0.523288  0.150176    199.765686  2018-08-29 2020-08-28 2020-08-29 2021-08-28
5   0.822974  0.325248  2.530292  0.542466  0.160212    187.252141  2018-10-28 2020-10-27 2020-10-28 2021-10-27
6   0.565407  0.388778  1.454317  0.515068  0.199501    150.374977  2018-12-27 2020-12-26 2020-12-27 2021-12-26
7   0.046747  0.214693  0.217738  0.515068  0.143552    208.983017  2019-02-25 2021-02-24 2021-02-25 2022-02-24
8   0.180040  0.210239  0.856360  0.534247  0.136209    220.249205  2019-04-26 2021-04-25 2021-04-26 2022-04-25
9   0.289865  0.208054  1.393220  0.528767  0.133064    225.455614  2019-06-25 2021-06-24 2021-06-25 2022-06-24
10  0.327884  0.285004  1.150453  0.520548  0.127132    235.975306  2019-08-24 2021-08-23 2021-08-24 2022-08-23
11 -0.030396  0.158647 -0.191596  0.452020  0.115259    260.284192  2019-10-23 2021-10-22 2021-10-23 2022-10-22
12  0.301734  0.132215  2.282138  0.527778  0.126291    237.546350  2019-12-22 2021-12-21 2021-12-22 2022-12-21
13  0.108408  0.147537  0.734787  0.472222  0.132227    226.883214  2020-02-20 2022-02-19 2022-02-20 2023-02-19
14  0.520772  0.200053  2.603171  0.500000  0.128585    233.308586  2020-04-20 2022-04-19 2022-04-20 2023-04-19
15  0.484881  0.193554  2.505146  0.525253  0.130781    229.391749  2020-06-19 2022-06-18 2022-06-19 2023-06-18
16  0.446454  0.230427  1.937507  0.512626  0.132992    225.577737  2020-08-18 2022-08-17 2022-08-18 2023-08-17
17  0.109287  0.107985  1.012053  0.520202  0.119622    250.789795  2020-10-17 2022-10-16 2022-10-17 2023-10-16
